,bigram,counts
0,"('iot', 'device')",2
41,"('value', 'secure')",1
59,"('future', 'blockchain')",1
58,"('world', 'future')",1
57,"('potential', 'world')",1
56,"('opportunity', 'potential')",1
55,"('challenges,', 'opportunity')",1
54,"('openglam', 'challenges,')",1
53,"('funding', 'openglam')",1
52,"('museum', 'funding')",1
51,"('collectibles,', 'museum')",1
50,"('crypto', 'collectibles,')",1
49,"('function', 'crypto')",1
48,"('unclonable', 'function')",1
47,"('physical', 'unclonable')",1
46,"('blockchain', 'physical')",1
45,"('based', 'blockchain')",1
44,"('device', 'based')",1
43,"('management', 'iot')",1
60,"('blockchain', 'asset')",1
61,"('asset', 'ownership')",1
62,"('ownership', 'secure')",1
72,"('pufs', 'critical')",1
79,"('genomic', 'data')",1
78,"('laws,', 'genomic')",1
77,"('privacy', 'laws,')",1
76,"('analysis', 'privacy')",1
75,"('ethical', 'analysis')",1
74,"('professional', 'ethical')",1
73,"('critical', 'professional')",1
71,"('using', 'pufs')",1
63,"('secure', 'combination')",1
70,"('smart', 'using')",1
69,"('device', 'smart')",1
68,"('binding', 'iot')",1
67,"('physically', 'binding')",1
66,"('blockchain', 'physically')",1
65,"('iot', 'blockchain')",1
64,"('combination', 'iot')",1
42,"('secure', 'management')",1
40,"('scarcity,', 'value')",1
1,"('review', 'key')",1
39,"('blockchains,', 'scarcity,')",1
18,"('towards', 'secure')",1
17,"('interrelation', 'towards')",1
16,"('cointegration', 'interrelation')",1
15,"('development,', 'cointegration')",1
14,"('temporal', 'development,')",1
13,"('blockchain', 'temporal')",1
12,"('ethereum', 'blockchain')",1
11,"('market', 'ethereum')",1
10,"('technology', 'market')",1
9,"('key', 'technology')",1
8,"('tokens;', 'key')",1
7,"('nonâ€‘fungible', 'tokens;')",1
6,"('asset', 'nonâ€‘fungible')",1
5,"('property', 'asset')",1
4,"('intellectual', 'property')",1
3,"('patent', 'intellectual')",1
2,"('key', 'patent')",1
19,"('secure', 'trustworthy')",1
20,"('trustworthy', 'imaging')",1
21,"('imaging', 'analysis')",1
31,"('opportunity', 'prospecting')",1
38,"('opportunity', 'blockchains,')",1
37,"('risk', 'opportunity')",1
36,"('ecosystem,', 'risk')",1
35,"('stakeholder', 'ecosystem,')",1
34,"('economy', 'stakeholder')",1
33,"('digital', 'economy')",1
32,"('prospecting', 'digital')",1
30,"('evaluation,', 'opportunity')",1
22,"('analysis', 'risk')",1
29,"('overview,', 'evaluation,')",1
28,"('craze', 'overview,')",1
27,"('beyond', 'craze')",1
26,"('innovation', 'beyond')",1
25,"('â€?, 'innovation')",1
24,"('return', 'â€?)",1
23,"('risk', 'return')",1
80,"('data', 'andnon-fungible')",1
