,volume,volume_past_ma10
0,37151.16694,
1,51607.71011,37151.16694
2,50451.02149,44379.43853
3,47528.84666,46403.29951
4,42856.18295,46684.6863
5,37157.17068,45918.98563
6,41662.28142,44458.68314
7,49057.71816,44059.19718
8,63700.74804,44684.0123
9,38814.99051,46796.98294
10,38897.1181,45998.7837
11,43774.94261,46173.37881
12,46130.78906,45390.10206
13,46903.94595,44958.07882
14,52157.87905,44895.58875
15,50653.90336,45825.75836
16,40259.04251,47175.43163
17,38873.65891,47035.10774
18,49595.88571,46016.70181
19,53791.18513,44606.21558
20,56526.2887,46103.83504
21,38443.55593,47866.7521
22,45736.32618,47333.61343
23,41984.21704,47294.16714
24,66446.57314,46802.19425
25,75737.24302,48231.06366
26,67056.67871,50739.39763
27,61107.2848,53419.16125
28,69615.74951,55642.52384
29,75229.503,57644.51022
30,85636.3214,59788.342
31,89739.13086,62699.34527
32,66595.58499,67828.90277
33,56923.81182,69914.82865
34,58086.14876,71408.78812
35,42615.03298,70572.74569
36,41245.92572,67260.52468
37,53234.01752,64679.44938
38,37656.08755,63892.12266
39,35894.37426,60696.15646
40,38844.95658,56762.64359
41,37691.43372,52083.5071
42,29536.67018,46878.73739
43,36547.39667,43172.84591
44,29414.93406,41135.20439
45,35451.14317,38268.08292
46,36933.24789,37551.69394
47,33569.86217,37120.42616
48,34570.46337,35154.01063
49,30470.85907,34845.44821
50,30263.29403,34303.09669
51,47414.97656,33444.93043
52,40015.61641,34417.28472
53,44297.05303,35465.17934
54,41639.52679,36240.14498
55,43496.65274,37462.60425
56,30386.67004,38267.15521
57,32852.23456,37612.49742
58,24887.26397,37540.73466
59,23043.16012,36572.41472
60,24863.36306,35829.64483
61,25894.31774,35289.65173
62,28028.54053,33137.58585
63,24328.2974,31938.87826
64,19248.19426,29942.00269
65,23167.53816,27702.86944
66,23188.7282,25669.95798
67,20830.49661,24950.1638
68,22898.93221,23747.99001
69,28789.59044,23549.15683
70,26814.18806,24123.79986
71,26575.28965,24318.88236
72,20344.3609,24386.97955
73,24032.25946,23618.56159
74,29137.87542,23588.9578
75,47199.17207,24577.92591
76,41558.53542,26981.0893
77,38921.18843,28818.07002
78,30754.61055,30627.13921
79,26134.96464,31412.70704
80,23090.76512,31147.24446
81,26724.00485,30774.90217
82,32086.42572,30789.77369
83,27567.51796,31963.98017
84,26851.46959,32317.50602
85,35612.34903,32088.86544
86,22934.60702,30930.18313
87,24465.9617,29067.79029
88,27172.79678,27622.26762
89,34682.04783,27264.08624
90,40792.83281,28118.79456
91,39439.00268,29889.00133
92,49512.10799,31160.50111
93,37320.58598,32903.06934
94,35655.2901,33878.37614
95,30560.36819,34758.75819
96,35631.53276,34253.56011
97,28959.59342,35523.25268
98,24351.76408,35972.61585
99,24212.85697,35690.51258
100,23652.23098,34643.5935
101,23270.5522,32929.53331
102,25947.71006,31312.68827
103,22969.99233,28956.24847
104,21939.64555,27521.18911
105,58372.81984,26149.62465
106,44625.92509,28930.86982
107,55402.57192,29830.30905
108,43252.16083,32474.6069
109,41059.94053,34364.64658
110,44340.60322,36049.35493
111,46088.29211,38118.19216
112,44040.1563,40399.96615
113,45267.45164,42209.21077
114,44793.0861,44438.9567
115,40575.55673,46724.30076
116,37947.07295,44944.57445
117,37057.48924,44276.68923
118,37207.3008,42442.18097
